"spkid","full_name","name","neo","pha","diameter","e","a","q","i","om","w","ma","ad","tp"
3673168,"       (2014 KB91)",,Y,Y,,0.5759,2.333,0.989,4.94,201.85,127.13,312.36,3.68,2460772.68
3673865,"       (2014 MP5)",,Y,Y,,0.5212,2.166,1.037,9.76,133.38,183.18,70.21,3.30,2460373.40
3673914,"       (2014 MF6)",,Y,Y,,0.6128,2.445,0.947,4.33,89.81,234.71,240.19,3.94,2461065.15
3673921,"       (2014 MJ6)",,Y,Y,,0.6421,1.843,0.660,4.49,271.45,102.60,16.35,3.03,2460559.00
3674069,"       (2014 MR26)",,Y,Y,,0.8251,2.494,0.436,10.89,141.46,290.65,242.79,4.55,2461068.92
3674335,"       (2014 MK55)",,Y,Y,,0.3700,1.37,0.863,2.93,162.83,207.87,91.98,1.88,2460450.85
3674578,"       (2014 NB52)",,Y,Y,,0.3737,1.253,0.785,24.41,279.38,115.36,58.06,1.72,2460517.86
3674619,"       (2014 NK52)",,Y,Y,0.502,0.8342,2.21,0.366,2.54,248.74,276.31,70.75,4.05,2460364.64
3675229,"       (2014 NG65)",,Y,Y,,0.3857,1.363,0.837,8.35,97.31,305.33,92.04,1.89,2460451.86
3675019,"       (2014 OT111)",,Y,Y,,0.5534,2.214,0.989,8.35,307.21,320.37,47.17,3.44,2460442.84
3678016,"       (2014 OX299)",,Y,Y,,0.8549,2.206,0.320,6.47,154.32,283.18,24.14,4.09,2460520.24
3678629,"       (2014 OM339)",,Y,Y,,0.6448,2.579,0.916,3.45,28.58,18.24,149.46,4.24,2459972.46
3680936,"       (2014 OJ392)",,Y,Y,,0.2922,1.168,0.827,35.36,316.91,242.18,119.12,1.51,2460447.90
3681964,"       (2014 PS59)",,Y,Y,0.206,0.5459,1.964,0.892,14.13,162.48,222.85,234.56,3.04,2460950.92
3681972,"       (2014 PW59)",,Y,Y,0.412,0.7002,2.411,0.723,2.38,294.60,296.33,266.06,4.10,2460957.30
3682230,"       (2014 QC3)",,Y,Y,,0.3730,1.261,0.790,37.61,146.34,64.63,120.37,1.73,2460427.66
3685272,"       (2014 QO390)",,Y,Y,,0.7967,1.265,0.257,21.26,325.43,231.20,76.30,2.27,2460490.39
3685808,"       (2014 QX432)",,Y,Y,,0.5868,1.366,0.565,6.44,111.72,68.74,230.97,2.17,2460809.59
3686160,"       (2014 QK434)",,Y,Y,0.296,0.5033,1.941,0.964,5.98,252.25,166.14,234.01,2.92,2460946.17
3689271,"       (2014 SS1)",,Y,Y,,0.5184,2.123,1.022,1.48,358.28,341.62,96.97,3.22,2460296.24
3689353,"       (2014 SP142)",,Y,Y,,0.4200,1.16,0.673,5.57,125.16,81.25,123.97,1.65,2460443.30
3691095,"       (2014 SM260)",,Y,Y,,0.8861,2.253,0.257,7.75,335.54,248.29,10.07,4.25,2460565.94
3692751,"       (2014 TN17)",,Y,Y,,0.7029,2.255,0.670,16.29,0.51,106.29,326.07,3.84,2460717.06
3693057,"       (2014 TW32)",,Y,Y,,0.6245,2.544,0.955,14.63,326.91,10.09,177.27,4.13,2459870.84
3693163,"       (2014 TY33)",,Y,Y,,0.2616,1.413,1.043,18.66,196.54,180.57,347.25,1.78,2460622.23
3693266,"       (2014 TA36)",,Y,Y,0.554,0.7064,2.839,0.834,6.13,228.95,256.47,12.57,4.85,2460539.45
3694451,"       (2014 UQ56)",,Y,Y,,0.3241,1.437,0.971,39.91,45.41,182.47,99.40,1.90,2460426.78
3695930,"       (2014 VL6)",,Y,Y,0.242,0.3291,1.243,0.834,6.09,38.85,279.95,106.36,1.65,2460450.89
3696441,"       (2014 WD7)",,Y,Y,,0.7508,2.262,0.564,2.31,218.75,308.76,308.83,3.96,2460777.16
3697798,"       (2014 WZ120)",,Y,Y,0.297,0.6399,2.212,0.796,20.91,244.78,245.22,347.81,3.63,2460641.18
3698847,"       (2014 WT202)",,Y,Y,,0.0631,0.9657,0.905,23.39,58.81,185.76,334.68,1.03,2460624.88
3699506,"       (2014 WE365)",,Y,Y,,0.5003,1.231,0.615,7.24,130.90,67.44,1.69,1.85,2460598.16
3699903,"       (2014 WR367)",,Y,Y,,0.6624,2.427,0.819,7.25,49.63,311.87,235.11,4.03,2461079.60
3699901,"       (2014 WK368)",,Y,Y,0.486,0.7121,2.155,0.621,14.30,237.13,105.23,61.65,3.69,2460402.58
3699954,"       (2014 XJ3)",,Y,Y,,0.7248,2.136,0.588,1.18,22.90,161.36,37.13,3.68,2460482.85
3701883,"       (2014 XL7)",,Y,Y,,0.5331,1.654,0.772,7.50,74.45,250.79,277.90,2.54,2460777.71
3702914,"       (2014 YY8)",,Y,Y,,0.5938,2.13,0.865,20.00,14.34,134.63,38.61,3.39,2460478.73
3703003,"       (2014 YL14)",,Y,Y,0.355,0.7643,2.749,0.648,5.92,67.82,291.08,65.59,4.85,2460297.16
3703073,"       (2014 YR15)",,Y,Y,,0.4092,0.7497,0.443,5.71,320.50,309.03,238.62,1.06,2460680.45
3703166,"       (2014 YS34)",,Y,Y,0.129,0.3853,1.553,0.955,6.89,210.06,321.99,346.44,2.15,2460627.13
3703080,"       (2014 YW34)",,Y,Y,,0.4255,1.407,0.808,6.03,314.30,57.31,0.50,2.01,2460599.64
3703314,"       (2015 AH)",,Y,Y,,0.2405,0.907,0.689,14.07,255.27,70.62,230.25,1.13,2460714.21
3704141,"       (2015 AY245)",,Y,Y,0.374,0.1093,1.127,1.004,13.59,143.64,13.05,29.74,1.25,2460564.40
3704265,"       (2015 BS4)",,Y,Y,,0.6534,2.728,0.946,6.10,355.08,187.46,40.40,4.51,2460415.78
3705045,"       (2015 BZ310)",,Y,Y,,0.5547,2.032,0.905,4.08,304.97,271.56,100.14,3.16,2460306.20
3707694,"       (2015 BL311)",,Y,Y,,0.8441,2.367,0.369,1.72,220.29,143.34,253.57,4.36,2460993.76
3707698,"       (2015 BN311)",,Y,Y,,0.3234,1.416,0.958,16.81,98.56,228.17,49.06,1.87,2460516.67
3709602,"       (2015 BK515)",,Y,Y,,0.4467,1.75,0.968,5.26,152.25,59.52,26.11,2.53,2460539.17
3709711,"       (2015 BP515)",,Y,Y,,0.1715,1.251,1.036,17.75,134.34,196.59,148.26,1.47,2460390.12
3764850,"       (2015 BO519)",,Y,Y,,0.8517,3.597,0.534,6.11,215.74,279.88,353.84,6.66,2457087.11
3709960,"       (2015 CA1)",,Y,Y,,0.6365,2.813,1.023,10.67,352.76,195.56,351.81,4.60,2460639.73
