"spkid","full_name","name","neo","pha","diameter","e","a","q","i","om","w","ma","ad","tp"
54317873,"       (2022 UA4)",,Y,N,,0.6292,2.361,0.875,3.81,202.89,123.09,11.63,3.85,2459827.71
54317874,"       (2022 UB4)",,Y,N,,0.5235,1.704,0.812,55.39,200.73,273.29,283.31,2.60,2460773.54
54317876,"       (2022 UC4)",,Y,N,,0.5199,2.442,1.172,1.15,268.38,144.04,180.45,3.71,2461295.51
54317878,"       (2022 UD4)",,Y,N,,0.3734,1.725,1.081,27.81,12.68,82.12,283.65,2.37,2460775.95
54317877,"       (2022 UE4)",,Y,N,,0.3042,1.681,1.170,7.35,216.08,185.80,321.65,2.19,2460685.31
54317879,"       (2022 UF4)",,Y,N,,0.3982,1.021,0.614,15.00,31.67,111.58,263.92,1.43,2460701.03
54317880,"       (2022 UG4)",,Y,N,,0.4827,1.427,0.738,10.96,3.47,144.42,358.44,2.12,2460603.19
54317881,"       (2022 UH4)",,Y,N,,0.7217,2.959,0.824,10.42,13.56,107.79,123.53,5.09,2459962.50
54317882,"       (2022 UJ4)",,Y,N,,0.5219,2.289,1.095,3.19,168.15,261.11,194.69,3.48,2461181.50
54317883,"       (2022 UK4)",,Y,N,,0.3925,2.03,1.233,5.47,346.82,72.30,233.59,2.83,2460971.36
54317884,"       (2022 UL4)",,Y,N,,0.2312,1.499,1.153,26.53,19.20,23.10,342.22,1.85,2459901.62
54317885,"       (2022 UM4)",,Y,N,,0.1824,1.203,0.983,27.38,27.14,30.90,161.62,1.42,2460384.22
54317886,"       (2022 UN4)",,Y,N,,0.3024,1.438,1.003,0.75,92.98,261.82,73.03,1.87,2460472.77
54317887,"       (2022 UO4)",,Y,N,,0.2574,0.944,0.701,3.15,349.46,255.71,179.79,1.19,2460433.19
54317888,"       (2022 UP4)",,Y,N,,0.4586,1.707,0.924,29.99,205.16,119.87,21.31,2.49,2459822.26
54317889,"       (2022 UQ4)",,Y,N,,0.5034,2.371,1.177,7.40,200.69,167.71,202.29,3.56,2461184.50
54317890,"       (2022 UR4)",,Y,N,,0.5297,1.765,0.830,11.29,207.18,238.60,288.06,2.70,2460771.72
54317891,"       (2022 UU4)",,Y,N,,0.5507,2.36,1.060,8.24,29.61,349.48,1.25,3.66,2459867.91
54317892,"       (2022 UV4)",,Y,N,,0.2547,1.282,0.956,1.84,26.72,320.65,157.19,1.61,2460368.95
54318576,"       (2022 UW4)",,Y,N,,0.1877,1.184,0.962,24.54,205.71,117.09,240.56,1.41,2460756.70
54318575,"       (2022 UX4)",,Y,N,,0.3032,1.599,1.114,12.29,205.61,140.73,16.76,2.08,2460566.11
54318577,"       (2022 UY4)",,Y,N,,0.6359,2.842,1.035,10.15,34.97,47.40,139.07,4.65,2459924.39
54318578,"       (2022 UZ4)",,Y,N,,0.2596,1.382,1.023,1.68,205.60,185.44,79.29,1.74,2460469.78
54318579,"       (2022 UA5)",,Y,N,,0.1542,1.133,0.958,1.56,23.78,315.21,270.73,1.31,2460709.68
54318580,"       (2022 UB5)",,Y,N,,0.1951,1.238,0.996,23.42,204.35,245.52,315.05,1.48,2459934.30
